"КАТЕГОРИЯ","НОМЕНКЛАТУРА","АВТОР","ИЗДАТЕЛЬСТВО","ГОД ИЗДАНИЯ","НОМЕНКЛАТУРА.КОЛИЧЕСТВО СТРАНИЦ","ИСПОЛНЕНИЕ ПЕРЕПЛЕТА","НОМЕНКЛАТУРА.ФОРМАТ КНИГИ","НОМЕНКЛАТУРА.ISBN","НОМЕНКЛАТУРА.СТАНДАРТ","НОМЕНКЛАТУРА.АННОТАЦИЯ","НОМЕНКЛАТУРА.АРТИКУЛ","НОМЕНКЛАТУРА.ИНТЕРНЕТ ССЫЛКА ДЛЯ EOTR","СЕРИЯ","РОЗНИЧНАЯ","СЕБЕСТОИМОСТЬ","СТАТУС","ДАТА"
"Русский исторический роман","Господин Великий Новгород","Мордовцев Д. Л.","Белый город","2010","448","твердый переплет","140х194х25","978-5-7793-2038-2","10","Исторические романы Д. Л. Мордовцева (1830–1905) пользовались у современников не меньшей славой, чем  знаменитая «История государства Российского» Н.М. Карамзина. В издание вошли его лучшие произведения «Мамаево побоище» и «Господин Великий Новгород».","00104093001","http://www.belygorod.ru/b/N00104093001.jpg","Русский исторический роман","200.0","154.0","p","2019-09-06"
"Русский исторический роман","Крестники Александра Невского","Плугарь А.","Белый город","2010","432","твердый переплет","140х194х25","978-5-7793-2023-8","10","Роман отправляет нас в сложный XIII век. Перед нами проходит жизнь удельного князя и его сына. Сопереживая, мы понимаем драматизм русской истории, примеряем на себя трудную жизнь людей далекого времени, когда раздробленная Русь стала добычей захватчиков.","00104093003","http://www.belygorod.ru/b/N00104093003.jpg","Русский исторический роман","200.0","167.0","p","2018-01-20"
"Русский исторический роман","Ледяной дом","Лажечников И.И.","Белый город","2010","480","твердый переплет","140х194х27","978-5-7793-2039-9","10","Роман И. Лажечникова «Ледяной дом» – один из лучших русских исторических романов. А.С. Пушкин называл его произведением, которое будет жить, «доколе не забудется русский язык». В романе рассказывается о временах царствования Анны Иоанновны.","00104093002","http://www.belygorod.ru/b/N00104093002.jpg","Русский исторический роман","200.0","167.0","p","2020-05-10"
"Самые знаменитые","Самые вкусные овощи и фрукты","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2020-7","20","Книга предлагает читателю познакомиться с самыми известными овощами и фруктами. Любопытные истории и факты о них дополняет красочный иллюстративный материал.","00104084035","http://www.belygorod.ru/b/N00104084035.jpg","Самые знаменитые","250.0","192.0","p","2014-07-21"
"Самые знаменитые","Самые знаменитые битвы мировой истории","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1944-7","30","Книга содержит основную информацию о 50 самых значительных битв в истории человечества.","00104084015","http://www.belygorod.ru/b/N00104084015.jpg","Самые знаменитые","250.0","208.0","p","2016-12-19"
"Самые знаменитые","Самые знаменитые боги и герои Древней Греции","Под ред. Лукинова С. С.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1898-3","30","В книге представлены пятьдесят наиболее известных персонажей греческой мифологии: боги и герои, волшебные существа, их история, культ поклонения и связанные с ними обычаи.","00104084002","http://www.belygorod.ru/b/N00104084002.jpg","Самые знаменитые","250.0","192.0","p","2011-09-09"
"Самые знаменитые","Самые знаменитые достопримечательности Италии","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2147-1","20","Это издание познакомит читателя с самыми знаменитыми достопримечательностями Италии.","00104084038","http://www.belygorod.ru/b/N00104084038.jpg","Самые знаменитые","250.0","192.0","p","2015-04-08"
"Самые знаменитые","Самые знаменитые народы мира","Журбей Ю.В., сост. и др,","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1895-2","10","Новое издание предлагает читателю познакомиться с основными сведениями о традиционной культуре и быте пятидесяти разных народов. В книге представлен материал о местах проживания, письменности, религии, национальной кухне, одежде и жилище  народов.","00104084008","http://www.belygorod.ru/b/N00104084008.jpg","Самые знаменитые","250.0","208.0","p","2019-04-10"
"Самые знаменитые","Самые знаменитые памятники античности","Астахов А. Ю.,сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2069-6","26","В книге представлены пятьдесят наиболее известных памятников античного мира, дается краткая история их создания и место, которое они занимали в культуре народов Европы.","00104084025","http://www.belygorod.ru/b/N00104084025.jpg","Самые знаменитые","250.0","192.0","p","2019-06-11"
"Самые знаменитые","Самые знаменитые правители мира","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1966-9","30","В книге собрано пятьдесят статей, посвященных мировым правителям с древних времен и вплоть до ХХ века. Основной текст дополняют интересные факты из жизни властителей и мировой истории.","00104084016","http://www.belygorod.ru/b/N00104084016.jpg","Самые знаменитые","250.0","192.0","p","2015-09-15"
"Самые знаменитые","Самые знаменитые православные храмы Москвы","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1947-8","25","Книга содержит основную информацию о самых известных православных храмах Москвы.","00104084018","http://www.belygorod.ru/b/N00104084018.jpg","Самые знаменитые","295.0","246.0","p","2018-11-08"
"Самые знаменитые","Самые знаменитые соборы мира","Под ред. Аптекман В.Л.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1897-6","30","Книга содержит основную информацию о 50 великих соборах мира.","00104084006","http://www.belygorod.ru/b/N00104084006.jpg","Самые знаменитые","250.0","208.0","p","2011-08-07"
"Самые знаменитые","Самые знаменитые страны Древнего мира","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2018-4","26","Благодаря этой книге вы узнаете много интересного о тех странах, которые существовали тысячелетия тому назад практически на всех континентах.","00104084029","http://www.belygorod.ru/b/N00104084029.jpg","Самые знаменитые","250.0","179.0","p","2012-06-22"
"Самые знаменитые","Самые знаменитые художники итальянского Возрождения","Астахов А. Ю.,сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-1949-2","14","Книга содержит основную информацию о 50 известных художниках итальянского Возрождения.","00104084011","http://www.belygorod.ru/b/N00104084011.jpg","Самые знаменитые","250.0","208.0","p","2014-01-28"
"Самые знаменитые","Самые знаменитые шедевры мирового портрета","Калмыкова В. В.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1901-0","30","В книге читатель познакомится с самыми знаменитыми портретами, созданными на протяжении пяти столетий. Портретное искусство сформировалось в эпоху Возрождения и было вызвано к жизни интересом к человеку, его духовным устремлением к совершенству.","00104084004","http://www.belygorod.ru/b/N00104084004.jpg","Самые знаменитые","250.0","179.0","p","2010-08-15"
"Самые знаменитые","Самые знаменитые шедевры мировой живописи","Голованова А. Е.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1900-3","30","Книга рассказывает о 50 наиболее известных и великих произведениях искусства, общепризнанных как шедевры мировой живописи. Читатель не всегда может увидеть полотна воочию, и книга даст ему возможность познакомиться с величайшими произведениями.","00104084003","http://www.belygorod.ru/b/N00104084003.jpg","Самые знаменитые","330.0","236.0","p","2013-12-14"
"Самые знаменитые","Самые известные деревья","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2066-5","20","В книге представлены наиболее известных деревьев мира,  дается краткая характеристика дерева, его особенности и применение в жизни людей.","00104084039","http://www.belygorod.ru/b/N00104084039.jpg","Самые знаменитые","250.0","192.0","p","2014-01-14"
"Самые знаменитые","Самые известные животные","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-1942-3","26","В этой книге вы сможете узнать о повадках и образе жизни, среде обитания и интересных особенностях самых известных животных нашей планеты.","00104084028","http://www.belygorod.ru/b/N00104084028.jpg","Самые знаменитые","330.0","275.0","p","2011-05-12"
"Самые знаменитые","Самые известные мифы народов мира","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2099-3","20","Книга предлагает читателю познакомиться с самыми известными мифами народов мира. Любопытные истории и факты о мифах дополняет красочный иллюстративный материал.","00104084040","http://www.belygorod.ru/b/N00104084040.jpg","Самые знаменитые","330.0","236.0","p","2013-03-22"
"Самые знаменитые","Самые известные монастыри России","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2096-2","26","Книга содержит основную информацию о самых известных   монастырях России.","00104084031","http://www.belygorod.ru/b/N00104084031.jpg","Самые знаменитые","330.0","254.0","p","2012-01-23"
"Самые знаменитые","Самые известные музеи мира","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2201-0","20","Это издание знакомит читателя с самыми знаменитыми музеями мира.","00104084041","http://www.belygorod.ru/b/N00104084041.jpg","Самые знаменитые","330.0","254.0","p","2011-06-19"
"Самые знаменитые","Самые известные события русской истории","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1952-2","30","Книга содержит основную информацию о самых известных событиях русской истории.","00104084013","http://www.belygorod.ru/b/N00104084013.jpg","Самые знаменитые","250.0","208.0","p","2019-11-24"
"Самые знаменитые","Самые известные сюжеты Нового Завета","Астахов А. Ю.,сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-1989-8","26","В этой книге вы сможете узнать о самых известных событиях, связанных как с Иисусом Христом, так и с зарождением христианской церкви, описанных в книгах Нового Завета.","00104084027","http://www.belygorod.ru/b/N00104084027.jpg","Самые знаменитые","330.0","275.0","p","2011-02-16"
"Самые знаменитые","Самые известные шедевры мировой архитектуры","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х10","978-5-7793-2148-8","20","Это издание знакомит читателя с самыми знаменитыми шедеврами мировой архитектуры.","00104084043","http://www.belygorod.ru/b/N00104084043.jpg","Самые знаменитые","330.0","236.0","p","2011-01-23"
"Самые знаменитые","Самые красивые дворцы и замки мира","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1986-7","25","Книга предлагает читателю познакомиться с основными сведениями о самых красивых дворцах и замках мира. Любопытные истории и факты о дворцовых зданиях и замках дополняет красочный иллюстративный материал.","00104084017","http://www.belygorod.ru/b/N00104084017.jpg","Самые знаменитые","295.0","211.0","p","2014-05-15"
"Самые знаменитые","Самые красивые птицы","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1896-9","30","Книга содержит основную информацию о 50 самых красивых птицах мира.","00104084005","http://www.belygorod.ru/b/N00104084005.jpg","Самые знаменитые","330.0","254.0","p","2019-12-22"
"Святоотеческое наследие","Лествица, или Скрижали духовные. Иоанн Лествичник","Иоанн Лествичник, преподобный","Белый город. Воскресный день","2016","280","твердый переплет","165х215х15","978-5-3590-1051-1","7","Лествица – великое духовное поучение преподобного Иоанна Лествичника, написанное им во время пребывания в Синайском монастыре.","20504160001","http://www.belygorod.ru/b/N20504160001.jpg","Святоотеческое наследие","480.0","369.0","p","2011-02-13"
"Святоотеческое наследие","Описание святой горы Афонской","Инок Парфений (Агеев)","Белый город. Воскресный день","2016","176","твердый переплет","165х215х10","978-5-3590-1064-1","6","Издание, которое вы держите в руках, содержит описание святой Афонской горы из IV части «Сказаний о странствии и путешествии по России, Молдавии, Турции и Святой Земле постриженика святой горы Афонской инока Парфения».","20504160002","http://www.belygorod.ru/b/N20504160002.jpg","Святоотеческое наследие","480.0","369.0","p","2018-09-16"
"Сказки и рассказы о животных","Волшебные истории про Еню и Елю","Гончарова А. С.","Белый город","2016","80","твердый переплет","170х240х6","978-5-9067-2611-7","16","Долгожданное продолжение добрых и светлых историй о енотиках детской писательницы, психолога Анны Гончаровой. Первые книги о енотиках давно полюбились читателям. Эти чудесные сказки помогают решить многие проблемы, с которыми сталкиваются дети и родители.","00104098005","http://www.belygorod.ru/b/N00104098005.jpg","Сказки и рассказы о животных","430.0","307.0","p","2012-04-15"
"Сказки и рассказы о животных","Выдумки кота Пиквика и Розочка-шалунья","Николаев А. А.","Белый город","2013","32","твердый переплет","170х240х5","978-5-7793-2385-7","18","В эту прекрасно иллюстрированную книгу вошли замечательные истории про разумного кота по имени Пиквик, кошечку-шалунью Розочку, овчарку Пальму, зайчиху Люси и ее друзей.","00104098004","http://www.belygorod.ru/b/N00104098004.jpg","Сказки и рассказы о животных","250.0","179.0","p","2015-12-04"
"Сказки и рассказы о животных","Домик под кустом крыжовника","Маланьина Е.С.","Белый город","2014","48","твердый переплет","170х240х4","978-5-9067-2630-8","16","Наверное, каждому человеку на свете хочется иметь крепкую, дружную семью, особенно ребёнку.","00104098010","http://www.belygorod.ru/b/N00104098010.jpg","Сказки и рассказы о животных","225.0","173.0","p","2013-03-04"
"Сказки и рассказы о животных","Еня и Еля. Весенние истории","Гончарова А. С.","Белый Город","2016","48","твердый переплет","170х240х4","978-5-9067-2659-9","18","Весенние истории про енотиков из Волшебного леса помогают весело и с пользой проводить время, знакомят с законами дружбы, рассказывают о волшебной силе слов и учат замечать прекрасное в каждом времени года.","23504098006","http://www.belygorod.ru/b/N23504098006.jpg","Сказки и рассказы о животных","350.0","269.0","p","2015-08-12"
"Сказки и рассказы о животных","Еня и Еля. Волшебная экология","Гончарова А. С.","Белый Город","2017","64","твердый переплет","170х240х","978-5-9067-2687-2","17","Новая книга из серии про Еню и Елю рассказывает детям о волшебстве природы, о том, что такое экология, зачем нужны заповедники, как устроены леса и водоёмы, учит заботиться об окружающей среде.","23504098008","http://www.belygorod.ru/b/N23504098008.jpg","Сказки и рассказы о животных","375.0","312.0","p","2019-09-26"
"Сказки и рассказы о животных","Еня и Еля. Волшебные бусины","Гончарова А. С.","Белый Город","2014","48","твердый переплет","200х280х3","978-5-9067-2620-9","16","Эта книга, как и вся серия про енотиков из Волшебного леса, наполнена  добрыми историями, мудростью и теплотой. А ещё она учит мастерить поделки из бисера, развивающие терпение и воображение.","23504098001","http://www.belygorod.ru/b/N23504098001.jpg","Сказки и рассказы о животных","250.0","179.0","p","2016-06-04"
"Сказки и рассказы о животных","Еня и Еля. Зимние истории","Гончарова А. С.","Белый город","2017","48","твердый переплет","170х240х4","978-5-7793-2422-9","14","Волшебный лес, в котором живут енотики Еня и Еля, зимой становится особенно сказочным и чудесным. Летают красавицы снежинки, старый дуб рассказывает, как чувствуют себя деревья зимой.","00104098007","http://www.belygorod.ru/b/N00104098007.jpg","Сказки и рассказы о животных","335.0","258.0","p","2018-08-07"
"Сказки и рассказы о животных","Еня и Еля. Знакомство с феей Грамотности","Гончарова А. С.","Белый Город","2018","64","твердый переплет","170х240х5","978-5-9067-2713-8","17","В этой книге вы найдёте добрые познавательные истории, прекрасные иллюстрации, интересные задания, русские пословицы и поговорки, а также чудесную викторину. Вместе с енотиками из Волшебного леса дети познакомятся с феей Грамотности и узнают много нового","23504098002","http://www.belygorod.ru/b/N23504098002.jpg","Сказки и рассказы о животных","375.0","288.0","p","2014-09-17"
"Сказки и рассказы о животных","Еня и Еля. Изучаем цвета","Гончарова А. С.","Белый Город","2016","16","брошюра","145х200х1","978-5-9067-2645-2","100","С помощью добрых стихов и ярких картинок дети изучат все цвета радуги. А раскрасив предметы в заданиях, ещё лучше запомнят цвета, закрепив их ассоциациями.","23515098003","http://www.belygorod.ru/b/N23515098003.jpg","Сказки и рассказы о животных","80.0","67.0","p","2013-03-07"
"Сказки и рассказы о животных","Еня и Еля. Летние истории","Гончарова А. С.","Белый город","2015","48","твердый переплет","170х240х4","978-5-9067-2637-7","16","Лето – удивительное время радости и веселья. Эти истории про Еню и Елю особенные – летние, воздушные. Как и все истории про енотиков талантливой детской писательницы, психолога Анны Гончаровой.","00104098011","http://www.belygorod.ru/b/N00104098011.jpg","Сказки и рассказы о животных","295.0","227.0","p","2011-01-07"
"Сказки и рассказы о животных","Еня и Еля. Музыкальные инструменты. Гончарова А. С.","Гончарова А. С.","Белый Город","2015","32","мягкий переплет","170х240х3","978-5-9067-2660-5","20","В книге вас ждут стихотворения о разных музыкальных инструментах, нотах и оркестре, познавательная информация, развивающие задания и яркие иллюстрации, которые помогут вам ближе познакомиться с волшебным миром музыки.","23502098001","http://www.belygorod.ru/b/N23502098001.jpg","Сказки и рассказы о животных","125.0","89.0","p","2016-09-06"
"Сказки и рассказы о животных","Еня и Еля. Осенние истории","Гончарова А. С.","Белый город","2016","48","твердый переплет","170х240х4","978-5-9067-2673-5","12","Долгожданное продолжение добрых и светлых историй о енотиках детской писательницы, психолога Анны Гончаровой. Книги о енотиках давно полюбились читателям. Эти чудесные сказки помогают решить многие проблемы, с которыми сталкиваются дети и родители.","00104098012","http://www.belygorod.ru/b/N00104098012.jpg","Сказки и рассказы о животных","295.0","227.0","p","2014-04-02"
"Сказки и рассказы о животных","Еня и Еля. Первые истории","Гончарова А. С.","Белый Город","2017","64","твердый переплет","170х240х","978-5-9067-2688-9","17","Вы держите в руках новое издание с долгожданными иллюстрациями Ольги Чумичёвой. Добрые сказки про Еню и Елю учат доброте, отзывчивости, умению дружить, справляться со страхами и замечать прекрасное.","23504098009","http://www.belygorod.ru/b/N23504098009.jpg","Сказки и рассказы о животных","375.0","268.0","p","2015-04-16"
"Сказки и рассказы о животных","Еня и Еля. Раскраска","Гончарова А. С.","Белый город","2014","16","мягкий переплет","200х280х1","978-5-7793-2415-1","30","На страницах этой замечательной раскраски с персонажами книг про Еню и Елю детской писательницы Анны Гончаровой вы найдете красивые картинки с полюбившимися героями, созданные художником Ольгой Чумичёвой, добрые стихи и увлекательные задания. На страницах этой замечательной раскраски с персонажами книг про Еню и Елю детской писательницы Анны Гончаровой вы найдете красивые картинки с полюбившимися героями, созданные художником Ольгой Чумичёвой, добрые стихи и увлекательные задания.","00102098001","http://www.belygorod.ru/b/N00102098001.jpg","Сказки и рассказы о животных","80.0","67.0","p","2014-09-04"
"Сказки и рассказы о животных","Еня и Еля. Формы и размеры","Гончарова А. С.","Белый Город","2016","16","брошюра","145х200х1","978-5-9067-2647-6","100","Эта книга поможет ребёнку познакомиться с формами и размерами. Малыш услышит добрые стихи и выполнит увлекательные задания, больше узнав об окружающем мире.","23515098005","http://www.belygorod.ru/b/N23515098005.jpg","Сказки и рассказы о животных","80.0","67.0","p","2010-11-10"
"Сказки и рассказы о животных","Еня и Еля. Фрукты и овощи","Гончарова А. С.","Белый Город","2016","16","брошюра","145х200х1","978-5-9067-2646-9","100","Эта книга с добрыми стихами, интересными заданиями и красивыми картинками в увлекательной форме расскажет ребёнку об овощах и фруктах.","23515098004","http://www.belygorod.ru/b/N23515098004.jpg","Сказки и рассказы о животных","80.0","67.0","p","2010-11-20"
"Сказки и рассказы о животных","Заклинайки","Гончарова А. С.","Белый Город","2015","64","твердый переплет","200х260х6","978-5-9067-2657-5","18","Увлекательная повесть-сказка о большой дружной семье волшебных героев – заклинаек. Сказка поможет детям стать отзывчивыми, заботиться о близких, добиваться целей, верить в себя и мечтать.","23504098007","http://www.belygorod.ru/b/N23504098007.jpg","Сказки и рассказы о животных","420.0","323.0","p","2015-06-06"
"Сказки и рассказы о животных","Играем с Еней и Елей","Гончарова А. С.","Белый Город","2017","16","мягкий переплет","200х260х","978-5-9067-2691-9","1","Новая, необычная, удивительная книжка-игра от Анны Гончаровой!  Эта книга — настоящий кладезь игр, который поможет с пользой провести время и детям, и взрослым. В ней вы найдёте кроссворд, викторину, лабиринт, раскраску и ещё много других заданий.","23502098003","http://www.belygorod.ru/b/N23502098003.jpg","Сказки и рассказы о животных","415.0","296.0","p","2015-03-07"
"Сказки и рассказы о животных","Новые истории про Еню и Елю/ ТД БГ","Гончарова А. С.","Белый Город","2015","64","твердый переплет","170х240х5","978-5-9067-2603-2","15","Продолжение увлекательных историй про енотиков Еню и Елю. Первая книга «Истории енотика Ени» быстро завоевала опулярность у широкой аудитории.","23504098003","http://www.belygorod.ru/b/N23504098003.jpg","Сказки и рассказы о животных","295.0","211.0","p","2013-01-20"
"Сказки и рассказы о животных","Про котят","Рудакова Н. П., сост.","Белый Город","2014","16","брошюра","200х280х2","978-5-9067-2623-0","100","Иллюстрированное издание произведений русских поэтов и писателей посвящено котятам – очаровательным друзьям человека. Интересные стихи и рассказы понравятся вашим детям и помогут им узнать много интересного об этих прекрасных животных.","23515098001","http://www.belygorod.ru/b/N23515098001.jpg","Сказки и рассказы о животных","79.0","61.0","p","2015-08-01"
"Сказки и рассказы о животных","Про собачку","Рудакова Н. П., сост.","Белый Город","2014","16","брошюра","200х280х2","978-5-9067-2624-7","100","Сказки русских писателей про животных.","23515095004","http://www.belygorod.ru/b/N23515095004.jpg","Сказки и рассказы о животных","79.0","66.0","p","2015-09-17"
"Сказки о художниках","Беггров","Улыбышева М. А.","Белый город","2005","12","брошюра","200х260х1","5-7793-0960-4","200","Развивающая сказка на основе биографии мастера пейзажной живописи начала XIX века открывает для юных читателей мир изобразительного искусства. Цветные репродукции лучших картин живописца - на каждой странице.","00115030064","http://www.belygorod.ru/b/N00115030064.jpg","Сказки о художниках","20.0","17.0","p","2011-06-14"
"Сказки о художниках","Братья Чернецовы. Сказка про то, как с реки Волги портрет писали","Соломко Н. З.","Белый город","2008","12","брошюра","200х260х 1","978-5-7793-1386-5","40","Братья Чернецовы – Григорий и Никанор – представители русского пейзажного искусства первой половины XIX века.","00115030389","http://www.belygorod.ru/b/N00115030389.jpg","Сказки о художниках","20.0","14.0","p","2018-03-03"
"Сказки о художниках","Виноградов","Роньшин В. М.","Белый город","2005","12","брошюра","200х260х1","5-7793-0885-3","200","Сказка о русском художнике-передвижнике первой половины XIX века, писавшем очаровательные пейзажи и красивые интерьеры. Книга приобщает ребенка к искусству, развивает эстетический вкус. Цветные репродукции на каждой странице.","00115030074","http://www.belygorod.ru/b/N00115030074.jpg","Сказки о художниках","20.0","17.0","p","2015-02-20"
"Сказки о художниках","Воробьев","Соломко Н. З.","Белый город","2005","12","брошюра","200х260х1","5-7793-0809-8","200","На каждой странице  великолепные цветные репродукции лучших картин известного русского художника первой половины XIX века, представителя романтизма. В своем творчестве отдавал предпочтение пейзажам – архитектурным видам Москвы и Петербурга.","00115030076","http://www.belygorod.ru/b/N00115030076.jpg","Сказки о художниках","20.0","14.0","p","2010-06-05"
"Сказки о художниках","Греков","Майорова Н. О., Скоков Г. К.","Белый город","2005","12","брошюра","200х260х1","5-7793-0959-0","200","Сказка не только содержит интересные сведения из жизни основоположника советской батальной живописи, но и помогает ребенку знакомиться с миром изобразительного искусства.","00115030078","http://www.belygorod.ru/b/N00115030078.jpg","Сказки о художниках","20.0","15.0","p","2018-06-26"
"Сказки о художниках","Лагорио","Соломко Н. З.","Белый город","2005","12","брошюра","200х260х1","5-7793-0808-х","200","Книга помогает детям запомнить необходимые термины, важные факты, а главное – сами произведения Льва Лагорио – признанного русского художника конца XIX века. Лагорио известен красивыми морскими пейзажами в стиле романтизма, батальными картинами.","00115030090","http://www.belygorod.ru/b/N00115030090.jpg","Сказки о художниках","20.0","15.0","p","2015-02-24"
"Сказки о художниках","Неврев","Скоков Г. К.","Белый город","2004","12","брошюра","200х260х01","5-7793-0731-8","200","Книга помогает детям запомнить необходимые термины, важные факты, а главное – сами картины русского художника-передвижника, мастера бытового жанра. Для чтения взрослыми детям.","00115030096","http://www.belygorod.ru/b/N00115030096.jpg","Сказки о художниках","20.0","14.0","p","2011-05-02"
"Сказки о художниках","Николай Дубовской. Сказка о художнике, марине и Маринке","Малинина Е. В.","Белый город","2008","12","брошюра","200х260х 01","978-5-7793-1388-9","40","Николай Дубовской – русский художник, работавший в жанре пейзажа во второй половине XIX века. Он не закончил Академии, но за «известность на творческом поприще» был удостоен звания академика.","00115030390","http://www.belygorod.ru/b/N00115030390.jpg","Сказки о художниках","20.0","14.0","p","2020-02-05"
"Сказки о художниках","Толстой","Соломко Н. З.","Белый город","2005","12","брошюра","200х260х01","5-7793-0884-5","200","Интересная сказка о русском художнике и скульпторе начала XIX века, о его знаменитой серии из 21 медальона на тему Отечественной войны 1812 года. Цветные репродукции – на каждой странице.","00115030114","http://www.belygorod.ru/b/N00115030114.jpg","Сказки о художниках","20.0","15.0","p","2019-03-25"
"Сказочная кладовая","Ехал грека через реку","Астахова Н. В.,сост.","Белый город","2011","48","твердый переплет","200х260х9","978-5-7793-1856-3","44","В фольклоре много разных литературных форм и жанров, которые нравятся ребенку. Их забавляют веселые диалоги, скороговорки позволяют быстрее развиваться их речи, разгадывание загадок доставляет радость.","00104032012","http://www.belygorod.ru/b/N00104032012.jpg","Сказочная кладовая","180.0","129.0","p","2014-10-13"
"Сказочная кладовая","Полна хата ребят","Астахова Н. В.,сост.","Белый город","2011","48","твердый переплет","200х260х9","978-5-7793-1725-2","44","Игры, считалки, песенки, потешки вошли в книгу и сделали ее необходимой для детей и родителей. Книга фольклора способствует развитию целостной личности ребенка, его активности, самостоятельности, эмоциональной отзывчивости к окружающему миру.","00104032009","http://www.belygorod.ru/b/N00104032009.jpg","Сказочная кладовая","180.0","138.0","p","2017-02-19"
"Сказочная кладовая","Радуга-дуга","Астахова Н. В.,сост.","Белый город","2010","48","твердый переплет","200х260х9","978-5-7793-1871-6","12","Очередная книга из серии детского фольклора представляет читателям песенки, игры, считалки, заклички. Они позволяют ребенку активно включаться в коллективную жизнь, развивать свои физические силы, а также смекалку, ловкость, внимание.","00104032016","http://www.belygorod.ru/b/N00104032016.jpg","Сказочная кладовая","180.0","129.0","p","2013-06-09"
"Сказочная кладовая","Солнышко-колоколнышко","Астахова Н. В.,сост.","Белый город","2010","48","твердый переплет","200х260х9","978-5-7793-1872-3","12","В традициях русской жизни было вовлечение детей в круг взрослых интересов, хозяйственных занятий. В книге много стихов о домашних животных, созданных по принципу веселых несообразностей, которые делают мир особенно привлекательным в детстве.","00104032015","http://www.belygorod.ru/b/N00104032015.jpg","Сказочная кладовая","180.0","129.0","p","2012-02-29"
"Сказочная кладовая","Топ-топ, топотушки","Астахова Н. В.,сост.","Белый город","2011","48","твердый переплет","200х260х9","978-5-7793-1724-5","44","Наша книга – одна из серии книг, в которых предпринята попытка наиболее полного собрания русского фольклора для детей. В книгу вошли игры, забавы, прибаутки и пестушки, которые соответствуют особенностям физического и интеллектуального развития малыша.","00104032010","http://www.belygorod.ru/b/N00104032010.jpg","Сказочная кладовая","180.0","129.0","p","2010-12-17"
"Сказочная кладовая","У медведя во бору","Астахова Н. В.,сост.","Белый город","2010","48","твердый переплет","198х260х9","978-5-7793-1869-3","12","Разучивая с ребенком считалки, песенки, стихи, взрослые учат его воспринимать созданные народом яркие художественные образы. Их особый мир и сочный язык отвечает желанию взрослых передать ребенку радость от восприятия мира.","00104032013","http://www.belygorod.ru/b/N00104032013.jpg","Сказочная кладовая","180.0","138.0","p","2011-02-08"
